POINT_ID,LC0_Desc,BDsample_0,coarse_mas,BDfine_0_2,coarse_vol,,
,Land Cover (Eurostat),BDsample_0_20_2018,coarse_mass_fraction,BDfine_0_20_2018_approx,coarse_volume_fraction_approx,,
55882170,Woodland,0.898,0.11,0.831,0.038,,
55962232,Cropland,1.287,0.04,1.26,0.02,,
56022164,Cropland,1.223,0.04,1.197,0.019,,
56022218,Cropland,1.224,0.06,1.184,0.028,,
56042230,Cropland,1.2,0.02,1.186,0.009,,
56062152,Woodland,1.056,0.3,0.842,0.122,,
56162224,Cropland,1.456,0.01,1.45,0.006,,
56182214,Cropland,1.39,0.03,1.37,0.016,,
56202206,Woodland,0.92,0,0.92,0,,
56302220,Cropland,1.382,0.03,1.362,0.016,,
56302252,Cropland,1.21,0,1.21,0,,
56342170,Woodland,0.979,0.27,0.796,0.102,,
56342242,Grassland,1.512,0.01,1.506,0.006,,
56402240,Grassland,1.577,0.16,1.467,0.097,,
56482194,Cropland,1.103,0,1.103,0,,
56482216,Grassland,1.333,0.05,1.3,0.026,,
56542222,Cropland,1.24,0,1.24,0,,
56622184,Woodland,0.927,0.09,0.871,0.032,,
56622264,Grassland,1.327,0.06,1.286,0.031,,
56642224,Cropland,1.3,0.08,1.246,0.04,,
56662180,Grassland,1.148,0.11,1.073,0.049,,
56662230,Grassland,1.221,0.04,1.195,0.019,,
56802234,Cropland,1.242,0,1.242,0,,
29061990,Grassland,1.324,0.3,1.094,0.153,,
63581624,Cropland,1.384,0.17,1.263,0.09,,
63681618,Cropland,0.885,0.06,0.849,0.02,,
63741606,Grassland,1.077,0.35,0.819,0.145,,
63761600,Cropland,1.084,0.18,0.961,0.075,,
63881600,Shrubland,1.319,0.19,1.182,0.096,,
64061610,Shrubland,0.823,0.16,0.728,0.051,,
64081622,Grassland,1.152,0.17,1.034,0.075,,
64081650,Shrubland,0.934,0.16,0.832,0.057,,
64141632,Cropland,0.969,0.23,0.816,0.086,,
64161658,Cropland,0.949,0.19,0.826,0.069,,
64221650,Cropland,1.199,0.21,1.048,0.097,,
64261646,Grassland,1.356,0.2,1.211,0.104,,
64281654,Grassland,1.22,0.09,1.159,0.042,,
64441626,Grassland,1.527,0.21,1.376,0.123,,
64461632,Grassland,0.8,0.14,0.719,0.043,,
64541646,Cropland,0.833,0.48,0.512,0.154,,
64581660,Cropland,1.027,0.13,0.941,0.051,,
64601638,Bareland,1.032,0.15,0.932,0.06,,
64621644,Bareland,0.999,0.12,0.922,0.046,,
64621658,Cropland,1.05,0.22,0.899,0.089,,
64801668,Cropland,1.365,0.11,1.289,0.058,,
64841666,Cropland,0.815,0.11,0.751,0.034,,
64841670,Cropland,1.355,0.03,1.335,0.016,,
64881666,Cropland,1.684,0.15,1.585,0.097,,
64981672,Shrubland,1.008,0.23,0.852,0.089,,
45923018,Woodland,1.063,0.07,1.018,0.029,,
45982944,Cropland,1.298,0.27,1.095,0.135,,
45982980,Cropland,1.442,0.14,1.345,0.078,,
46082944,Cropland,1.464,0.36,1.175,0.203,,
46102964,Shrubland,1.286,0.34,1.02,0.168,,
46142982,Cropland,1.237,0.23,1.07,0.109,,
46183002,Cropland,1.296,0.17,1.175,0.085,,
46283032,Cropland,1.301,0.06,1.26,0.03,,
46342980,Cropland,1.377,0.2,1.232,0.106,,
46363020,Cropland,1.347,0.16,1.233,0.083,,
46382970,Woodland,1.225,0.24,1.05,0.113,,
46442992,Cropland,1.57,0.17,1.452,0.103,,
46503018,Cropland,1.567,0.09,1.507,0.054,,
46523016,Cropland,1.563,0.17,1.444,0.102,,
46602982,Cropland,1.403,0.08,1.348,0.043,,
46623028,Cropland,1.548,0.04,1.522,0.024,,
46643006,Cropland,1.587,0.08,1.534,0.049,,
46643036,Cropland,1.361,0.11,1.285,0.058,,
46723066,Woodland,1.161,0.01,1.155,0.004,,
46742980,Grassland,1.36,0.07,1.312,0.037,,
46762986,Cropland,1.214,0.08,1.16,0.037,,
46802974,Cropland,1.313,0.11,1.237,0.056,,
46823014,Cropland,1.587,0.07,1.542,0.043,,
46843046,Grassland,1.233,0.04,1.207,0.019,,
46902972,Cropland,1.357,0.1,1.288,0.052,,
47023028,Cropland,1.643,0.14,1.55,0.088,,
45102976,Grassland,1.259,0.26,1.066,0.126,,
45142936,Grassland,1.374,0.27,1.17,0.143,,
45202942,Cropland,1.381,0.23,1.211,0.122,,
45242946,Cropland,1.361,0.47,0.956,0.246,,
45242968,Grassland,1.465,0.29,1.243,0.163,,
45382978,Grassland,1.382,0.45,0.999,0.239,,
45422942,Cropland,1.497,0.19,1.362,0.109,,
45502954,Cropland,1.338,0.11,1.262,0.057,,
45522910,Woodland,0.961,0.15,0.864,0.055,,
45522960,Grassland,1.217,0.06,1.177,0.028,,
45562946,Cropland,1.487,0.14,1.39,0.08,,
45562960,Woodland,0.81,0.17,0.709,0.053,,
45562982,Grassland,0.873,0.01,0.867,0.003,,
45582938,Cropland,1.449,0.06,1.409,0.033,,
45622926,Cropland,1.316,0.25,1.129,0.126,,
45702964,Grassland,1.198,0.18,1.071,0.083,,
46002900,Woodland,0.798,0.08,0.752,0.025,,
46002912,Cropland,1.486,0.25,1.3,0.143,,
46102910,Cropland,1.509,0.14,1.412,0.081,,
46142896,Grassland,1.58,0.13,1.493,0.079,,
46282880,Woodland,1.114,0.2,0.975,0.086,,
46322896,Cropland,1.555,0.09,1.496,0.054,,
46362900,Cropland,1.574,0.18,1.448,0.109,,
46382944,Cropland,1.407,0.17,1.286,0.092,,
46402932,Grassland,1.21,0.13,1.12,0.061,,
46422942,Cropland,1.407,0.23,1.237,0.124,,
46442920,Cropland,1.342,0.13,1.252,0.067,,
46462856,Grassland,1.382,0.09,1.321,0.048,,
46462862,Woodland,0.906,0.07,0.863,0.024,,
46462874,Grassland,1.485,0.06,1.445,0.034,,
46482866,Cropland,1.463,0.05,1.43,0.028,,
46502906,Cropland,1.461,0.06,1.421,0.034,,
46562902,Cropland,1.416,0.1,1.348,0.054,,
46642928,Grassland,1.37,0.14,1.272,0.074,,
46682946,Cropland,1.208,0.22,1.049,0.102,,
46742916,Cropland,1.317,0.08,1.262,0.041,,
46782910,Cropland,1.51,0.15,1.406,0.087,,
47042914,Bareland,1.273,0.11,1.197,0.054,,
47162890,Grassland,1.2,0.09,1.139,0.042,,
47262900,Cropland,1.493,0.07,1.446,0.04,,
45302988,Grassland,1.114,0.15,1.012,0.064,,
45603022,Cropland,0.932,0.16,0.83,0.057,,
45763046,Cropland,1.348,0.19,1.211,0.099,,
45823044,Cropland,0.943,0.16,0.84,0.058,,
45863044,Grassland,1.184,0.22,1.026,0.1,,
45903046,Cropland,1.094,0.03,1.075,0.013,,
45903064,Woodland,0.868,0.12,0.796,0.04,,
46003030,Cropland,1.37,0.15,1.264,0.079,,
46003080,Grassland,1.194,0.19,1.059,0.087,,
46023042,Cropland,0.991,0.08,0.94,0.03,,
46163088,Woodland,0.7,0.06,0.669,0.016,,
46203042,Cropland,1.278,0.12,1.195,0.059,,
46203078,Grassland,1.233,0.21,1.081,0.1,,
46363102,Grassland,1.178,0.15,1.074,0.068,,
46383088,Woodland,0.774,0.1,0.718,0.03,,
46323072,Grassland,1.185,0.12,1.103,0.055,,
46463090,Woodland,0.535,0.12,0.482,0.025,,
46503054,Grassland,1.411,0.04,1.384,0.022,,
46643090,Grassland,0.891,0.1,0.83,0.034,,
46823086,Woodland,0.683,0.3,0.519,0.079,,
47083048,Woodland,0.825,0.2,0.704,0.063,,
47143018,Cropland,1.914,0.06,1.882,0.044,,
47143068,Woodland,0.95,0.11,0.881,0.04,,
47223018,Grassland,1.217,0.06,1.177,0.028,,
47263030,Cropland,1.927,0.1,1.873,0.074,,
47283082,Woodland,0.71,0.19,0.606,0.052,,
47303044,Cropland,1.651,0.02,1.638,0.013,,
47443048,Cropland,1.717,0.11,1.647,0.073,,
